timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-15 10:38:19,SSSP,time,BCF,../data/graphs/big_bfct_1e6.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,1764.1,0,1764.1,1764.1,799999,999997,bad_bcf_bfct_1_2
2024-07-15 10:45:53,SSSP,time,BCF,../data/graphs/big_bfct_1e6.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,2267.0,0,2267.0,2267.0,799999,999997,bad_bcf_bfct_1_2
2024-07-15 13:07:25,SSSP,time,BCF,../data/graphs/big_bfct_1e6.txt,0,5,1,0,40,0,1,5,100,1234,1,1234,12134,0,1143.4,65.04,1062.5,1253.1,799999,999997,bad_bcf_bfct_1_2
