timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-09 16:57:49,SSSP,time,BCF,../data/graphs/big_aug_gor_5e5_v5.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,2790.0,0,2790.0,2790.0,55555,499980,nbvg_bcf_gor_5_1
2024-07-10 16:02:03,SSSP,time,BCF,../data/graphs/big_aug_gor_5e5_v5.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,2311.2,0,2311.2,2311.2,55555,499980,nbvg_bcf_gor_5_1
2024-07-12 15:48:35,SSSP,time,BCF,../data/graphs/big_aug_gor_5e5_v5.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,2158.3,0,2158.3,2158.3,55555,499980,nbvg_bcf_gor_5_1
2024-07-15 20:21:06,SSSP,time,BCF,../data/graphs/big_aug_gor_5e5_v5.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,2073.7,0,2073.7,2073.7,55555,499980,nbvg_bcf_gor_5_1
2024-07-15 21:21:34,SSSP,time,BCF,../data/graphs/big_aug_gor_5e5_v5.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,501.09,0,501.09,501.09,55555,499980,nbvg_bcf_gor_5_1
