timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:46:09,SSSP,time,BCF,../data/graphs/big_aug_rd2_1e6.txt,0,1,1,0,10,0,1,1,100,1234,1,1234,12134,0,2882.7,0,2882.7,2882.7,100000,999978,kfact_rd2_10_2
2024-07-07 07:18:49,SSSP,time,BCF,../data/graphs/big_aug_rd2_1e6.txt,0,1,1,0,10,0,1,1,100,1234,1,1234,12134,0,1980.5,0,1980.5,1980.5,100000,999978,kfact_rd2_10_2
2024-07-11 21:51:18,SSSP,time,BCF,../data/graphs/big_aug_rd2_1e6.txt,0,1,1,0,10,0,1,1,100,1234,0,1234,12134,0,1358.7,0,1358.7,1358.7,100000,999978,kfact_rd2_10_2
2024-07-11 22:09:35,SSSP,time,BCF,../data/graphs/big_aug_rd2_1e6.txt,0,1,1,0,10,0,1,5,100,1234,0,1234,12134,0,1180.8,0,1180.8,1180.8,100000,999978,kfact_rd2_10_2
