timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-12 14:57:26,SSSP,time,GOR,../data/graphs/big_rand_5e5.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,23.566,0,23.566,23.566,83333,500000,nbvg_gor_rand_1_1
2024-07-12 15:00:56,SSSP,time,GOR,../data/graphs/big_rand_5e5.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,19.687,0,19.687,19.687,83333,500000,nbvg_gor_rand_1_1
2024-07-12 15:03:07,SSSP,time,GOR,../data/graphs/big_rand_5e5.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,26.88,0,26.88,26.88,83333,500000,nbvg_gor_rand_1_1
