timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:38:48,SSSP,time,BCF,../data/graphs/big_aug_bfct_2e7.txt,0,1,1,0,1,0,1,1,100,1234,1,1234,12134,0,248610,0,248610,248610,2666663,19999962,kfact_bfct_1_6
2024-07-11 21:45:53,SSSP,time,BCF,../data/graphs/big_aug_bfct_2e7.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,196840,0,196840,196840,2666663,19999962,kfact_bfct_1_6
2024-07-11 22:04:17,SSSP,time,BCF,../data/graphs/big_aug_bfct_2e7.txt,0,1,1,0,1,0,1,5,100,1234,0,1234,12134,0,194250,0,194250,194250,2666663,19999962,kfact_bfct_1_6
