timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-02 15:15:06,SSSP,time,GOR,../data/graphs/big_aug_rd1_5e5.txt,0,5,1,0,1,0,1,1,100,1234,0,1234,12134,0,842.65,42.375,775.56,900.78,55554,499974,nbvg_rd1_1
2024-07-07 06:47:37,SSSP,time,GOR,../data/graphs/big_aug_rd1_5e5.txt,0,5,1,0,1,0,1,1,100,1234,0,1234,12134,0,866.32,293.76,566.93,1416.8,55554,499974,nbvg_rd1_1
2024-07-09 13:48:28,SSSP,time,GOR,../data/graphs/big_aug_rd1_5e5.txt,0,5,1,0,1,0,1,1,100,1234,0,1234,12134,0,623.7,27.401,586.86,664.23,55554,499974,nbvg_rd1_1
