timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:38:54,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7.txt,0,1,1,0,1,0,1,1,100,1234,1,1234,12134,0,69607,0,69607,69607,833334,9999990,kfact_dfs_1_5
2024-07-11 21:45:57,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,51388,0,51388,51388,833334,9999990,kfact_dfs_1_5
2024-07-11 22:04:21,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7.txt,0,1,1,0,1,0,1,5,100,1234,0,1234,12134,0,54154,0,54154,54154,833334,9999990,kfact_dfs_1_5
