timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:39:57,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e6.txt,0,1,1,0,1,0,1,1,100,1234,1,1234,12134,0,26884,0,26884,26884,499999,4999968,kfact_rd2_1_4
2024-07-07 07:17:09,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e6.txt,0,1,1,0,1,0,1,1,100,1234,1,1234,12134,0,28698,0,28698,28698,499999,4999968,kfact_rd2_1_4
2024-07-11 21:46:39,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e6.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,21430,0,21430,21430,499999,4999968,kfact_rd2_1_4
2024-07-11 22:05:06,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e6.txt,0,1,1,0,1,0,1,5,100,1234,0,1234,12134,0,23357,0,23357,23357,499999,4999968,kfact_rd2_1_4
