timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-12 15:03:10,SSSP,time,BCF,../data/graphs/big_rand_2e7.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,55814,0,55814,55814,3333333,19999999,nbvg_bcf_rand_1_6
2024-07-15 20:24:30,SSSP,time,BCF,../data/graphs/big_rand_2e7.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,65970,0,65970,65970,3333333,19999999,nbvg_bcf_rand_1_6
2024-07-15 21:23:25,SSSP,time,BCF,../data/graphs/big_rand_2e7.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,68653,0,68653,68653,3333333,19999999,nbvg_bcf_rand_1_6
