timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:52:10,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,1000000,0,1,1,100,1234,1,1234,12134,0,776.86,0,776.86,776.86,66663,499962,kfact_bfct_inf_1
2024-07-11 21:55:38,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,1000000,0,1,1,100,1234,0,1234,12134,0,551.2,0,551.2,551.2,66663,499962,kfact_bfct_inf_1
2024-07-11 22:13:40,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,1000000,0,1,5,100,1234,0,1234,12134,0,478.66,0,478.66,478.66,66663,499962,kfact_bfct_inf_1
