timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:44:18,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,10,0,1,1,100,1234,1,1234,12134,0,1152.1,0,1152.1,1152.1,66663,499962,kfact_bfct_10_1
2024-07-11 21:50:07,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,10,0,1,1,100,1234,0,1234,12134,0,682.64,0,682.64,682.64,66663,499962,kfact_bfct_10_1
2024-07-11 22:08:25,SSSP,time,BCF,../data/graphs/big_aug_bfct_5e5.txt,0,1,1,0,10,0,1,5,100,1234,0,1234,12134,0,579.69,0,579.69,579.69,66663,499962,kfact_bfct_10_1
