timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-06-30 11:48:54,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e5.txt,0,1,1,0,20,0,1,1,100,1234,1,1234,12134,0,894.61,0,894.61,894.61,49999,499968,kfact_rd2_20_1
2024-07-07 07:19:39,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e5.txt,0,1,1,0,20,0,1,1,100,1234,1,1234,12134,0,608.56,0,608.56,608.56,49999,499968,kfact_rd2_20_1
2024-07-11 21:52:58,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e5.txt,0,1,1,0,20,0,1,1,100,1234,0,1234,12134,0,460.81,0,460.81,460.81,49999,499968,kfact_rd2_20_1
2024-07-11 22:11:13,SSSP,time,BCF,../data/graphs/big_aug_rd2_5e5.txt,0,1,1,0,20,0,1,5,100,1234,0,1234,12134,0,431.03,0,431.03,431.03,49999,499968,kfact_rd2_20_1
