timestamp,alg_goal,exp_type,alg_name,filename,source,reps,use_lazy,init_kappa,k_factor,rand_label,fixdagedges,cutedges,rec_limit,cutedgesseed,diam_apprx,ol_seed,il_seed,eg_sort_scc,avg_time,std,min,max,n,m,exp_name
2024-07-09 16:44:16,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7_v2.txt,0,1,1,0,1,0,1,1,100,1234,0,1234,12134,0,92698,0,92698,92698,833332,9999966,nbvg_bcf_dfs_2_5
2024-07-10 15:56:59,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7_v2.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,35320,0,35320,35320,833332,9999966,nbvg_bcf_dfs_2_5
2024-07-12 15:42:04,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7_v2.txt,0,1,1,0,40,0,1,5,100,1234,1,1234,12134,0,31596,0,31596,31596,833332,9999966,nbvg_bcf_dfs_2_5
2024-07-15 20:17:39,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7_v2.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,23610,0,23610,23610,833332,9999966,nbvg_bcf_dfs_2_5
2024-07-15 21:18:28,SSSP,time,BCF,../data/graphs/big_aug_dfs_1e7_v2.txt,0,1,1,0,40,0,1,5,100,9876,1,1234,12134,0,19753,0,19753,19753,833332,9999966,nbvg_bcf_dfs_2_5
